county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid-19_community_level,date_updated
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.3,16.4,205.91,High,2022-08-18
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.3,16.4,206.92,High,2022-08-18
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,6.0,14.8,190.22,Medium,2022-08-18
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.7,10.9,188.49,Medium,2022-08-18
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,5.4,23.6,252.59,High,2022-08-18
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.5,9.4,201.46,Medium,2022-08-18
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.3,16.4,190.31,Medium,2022-08-18
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.5,9.4,182.33,Low,2022-08-18
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,2.9,10.8,170.38,Medium,2022-08-18
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,8.1,0.0,234.07,Medium,2022-08-18
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.7,10.9,225.91,High,2022-08-18
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,4.9,9.8,238.96,Medium,2022-08-18
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.7,10.9,212.71,High,2022-08-18
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.5,9.4,210.23,Medium,2022-08-18
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,2.9,10.8,167.99,Medium,2022-08-18
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.7,10.9,194.13,Medium,2022-08-18
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,5.0,27.3,272.71,High,2022-08-11
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,3.3,10.0,176.09,Medium,2022-08-11
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,6.5,16.5,234.00,High,2022-08-11
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.0,17.5,203.57,High,2022-08-11
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,3.3,10.0,164.34,Medium,2022-08-11
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,6.6,0.0,306.30,Medium,2022-08-11
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.7,11.4,289.00,High,2022-08-11
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,5.6,10.3,269.44,High,2022-08-11
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.7,11.4,262.77,High,2022-08-11
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.4,11.3,243.51,High,2022-08-11
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,3.5,13.9,193.61,Medium,2022-08-11
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.7,11.4,224.32,High,2022-08-11
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,5.0,27.3,245.00,High,2022-08-11
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.4,11.3,230.21,High,2022-08-11
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.0,17.5,217.39,High,2022-08-11
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.4,11.3,281.68,High,2022-08-11
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,3.5,13.9,206.16,High,2022-08-11
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.0,17.5,227.69,High,2022-08-11
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.0,17.5,257.67,High,2022-08-11
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,6.5,16.5,224.81,High,2022-08-11
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.7,11.4,215.54,High,2022-08-11
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,4.4,20.8,247.28,High,2022-08-04
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.6,11.8,286.42,High,2022-08-04
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.2,16.3,199.56,Medium,2022-08-04
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.6,11.8,386.83,High,2022-08-04
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,4.1,13.6,218.16,High,2022-08-04
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,4.4,20.8,250.98,High,2022-08-04
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,3.9,9.1,249.25,Medium,2022-08-04
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,5.8,14.8,235.94,High,2022-08-04
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.2,16.3,181.13,Medium,2022-08-04
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,3.9,9.1,196.64,Low,2022-08-04
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,5.6,0.7,292.92,Medium,2022-08-04
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.7,11.9,305.89,High,2022-08-04
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,4.5,8.2,253.65,Medium,2022-08-04
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.7,11.9,257.44,High,2022-08-04
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.6,11.8,291.93,High,2022-08-04
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,4.1,13.6,197.88,Medium,2022-08-04
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.7,11.9,285.44,High,2022-08-04
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.2,16.3,227.46,High,2022-08-04
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.2,16.3,247.00,High,2022-08-04
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,5.8,14.8,244.24,High,2022-08-04
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.7,11.9,236.22,High,2022-08-04
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,6.5,29.5,306.82,High,2022-07-28
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.6,11.5,324.50,High,2022-07-28
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.2,14.6,233.85,High,2022-07-28
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.6,11.5,363.78,High,2022-07-28
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,3.6,13.6,248.45,High,2022-07-28
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,6.6,0.7,274.20,Medium,2022-07-28
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.6,10.8,347.95,High,2022-07-28
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,3.7,8.4,275.97,Medium,2022-07-28
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.6,10.8,309.31,High,2022-07-28
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.6,11.5,340.56,High,2022-07-28
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,3.6,13.6,234.18,High,2022-07-28
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.6,10.8,314.38,High,2022-07-28
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,6.5,29.5,237.94,High,2022-07-28
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,4.5,12.6,231.57,High,2022-07-28
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,5.5,14.8,265.68,High,2022-07-28
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.2,14.6,190.75,Medium,2022-07-28
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,4.5,12.6,212.79,High,2022-07-28
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.2,14.6,266.76,High,2022-07-28
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.2,14.6,288.07,High,2022-07-28
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,5.5,14.8,243.58,High,2022-07-28
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.6,10.8,239.87,High,2022-07-28
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,5.7,29.2,291.65,High,2022-07-21
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.5,10.4,327.61,High,2022-07-21
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.0,16.7,192.36,Medium,2022-07-21
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.5,10.4,356.64,High,2022-07-21
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,3.8,14.9,288.10,High,2022-07-21
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,5.7,29.2,275.97,High,2022-07-21
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,4.5,12.6,217.09,High,2022-07-21
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,4.8,13.7,280.71,High,2022-07-21
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.0,16.7,208.38,High,2022-07-21
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,4.5,12.6,213.74,High,2022-07-21
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,7.9,0.0,310.98,Medium,2022-07-21
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.4,11.3,329.05,High,2022-07-21
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,3.7,7.9,274.07,Medium,2022-07-21
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.4,11.3,301.19,High,2022-07-21
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.5,10.4,273.20,High,2022-07-21
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,3.8,14.9,216.39,High,2022-07-21
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.4,11.3,299.64,High,2022-07-21
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.0,16.7,243.63,High,2022-07-21
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.0,16.7,253.52,High,2022-07-21
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,4.8,13.7,248.85,High,2022-07-21
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.4,11.3,264.49,High,2022-07-21
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,4.7,23.1,298.86,High,2022-07-14
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.2,11.6,313.56,High,2022-07-14
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.9,16.3,210.54,High,2022-07-14
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.2,11.6,321.84,High,2022-07-14
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,2.9,10.8,326.32,High,2022-07-14
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,4.7,23.1,290.09,High,2022-07-14
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,4.0,12.6,188.95,Medium,2022-07-14
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,4.3,12.2,253.88,High,2022-07-14
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.9,16.3,195.56,Medium,2022-07-14
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,4.0,12.6,221.34,High,2022-07-14
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,4.8,0.0,282.89,Medium,2022-07-14
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.2,10.1,318.16,High,2022-07-14
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,3.1,6.3,263.45,Medium,2022-07-14
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.2,10.1,321.31,High,2022-07-14
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.2,11.6,264.83,High,2022-07-14
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,2.9,10.8,205.00,High,2022-07-14
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.2,10.1,300.36,High,2022-07-14
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.9,16.3,255.98,High,2022-07-14
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.9,16.3,237.33,High,2022-07-14
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,4.3,12.2,232.22,High,2022-07-14
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.2,10.1,292.46,High,2022-07-14
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,5.1,19.4,250.98,High,2022-07-07
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,4.7,12.2,166.44,Medium,2022-07-07
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,4.3,11.7,226.89,High,2022-07-07
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,3.8,13.7,113.81,Medium,2022-07-07
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,4.7,12.2,151.99,Medium,2022-07-07
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,3.8,13.7,209.95,High,2022-07-07
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,3.8,13.7,202.18,High,2022-07-07
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,4.3,11.7,191.37,Medium,2022-07-07
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.3,9.3,226.49,Medium,2022-07-07
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,5.1,19.4,221.11,High,2022-07-07
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,3.4,8.3,267.43,Medium,2022-07-07
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,3.8,13.7,170.08,Medium,2022-07-07
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,3.4,8.3,270.08,Medium,2022-07-07
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,2.8,10.6,267.56,High,2022-07-07
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,4.7,0.7,223.37,Medium,2022-07-07
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.3,9.3,262.21,Medium,2022-07-07
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,3.7,7.1,236.51,Medium,2022-07-07
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.3,9.3,245.07,Medium,2022-07-07
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,3.4,8.3,247.50,Medium,2022-07-07
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,2.8,10.6,182.93,Medium,2022-07-07
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.3,9.3,247.51,Medium,2022-07-07
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,4.9,20.8,218.08,High,2022-06-30
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,3.1,8.7,278.48,Medium,2022-06-30
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,3.3,12.6,161.85,Medium,2022-06-30
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,3.1,8.7,259.52,Medium,2022-06-30
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,2.2,9.6,256.99,Medium,2022-06-30
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,4.9,20.8,204.26,High,2022-06-30
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,2.4,8.7,194.58,Low,2022-06-30
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,4.8,15.6,232.23,High,2022-06-30
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,3.3,12.6,115.41,Medium,2022-06-30
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,2.4,8.7,150.09,Low,2022-06-30
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,3.7,0.0,173.21,Low,2022-06-30
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.1,8.4,261.96,Medium,2022-06-30
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,3.6,8.4,249.84,Medium,2022-06-30
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.1,8.4,253.44,Medium,2022-06-30
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,3.1,8.7,225.58,Medium,2022-06-30
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,2.2,9.6,172.26,Low,2022-06-30
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.1,8.4,239.42,Medium,2022-06-30
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,3.3,12.6,211.52,High,2022-06-30
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,3.3,12.6,191.13,Medium,2022-06-30
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,4.8,15.6,193.52,Medium,2022-06-30
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.1,8.4,219.80,Medium,2022-06-30
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,3.8,11.6,191.54,Medium,2022-06-23
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,3.8,11.6,179.48,Medium,2022-06-23
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,4.3,10.8,179.85,Medium,2022-06-23
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.2,7.5,219.80,Medium,2022-06-23
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,3.9,0.0,171.21,Low,2022-06-23
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.2,7.5,239.68,Medium,2022-06-23
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,3.5,7.3,229.43,Medium,2022-06-23
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.2,7.5,236.83,Medium,2022-06-23
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,3.1,7.9,230.96,Medium,2022-06-23
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,2.2,10.3,162.29,Medium,2022-06-23
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.2,7.5,199.70,Low,2022-06-23
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,4.5,21.9,216.94,High,2022-06-23
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,3.1,7.9,243.51,Medium,2022-06-23
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,3.8,11.6,169.05,Medium,2022-06-23
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,3.1,7.9,269.93,Medium,2022-06-23
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,2.2,10.3,258.82,High,2022-06-23
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,4.5,21.9,170.58,High,2022-06-23
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,2.3,3.5,187.34,Low,2022-06-23
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,4.3,10.8,225.60,High,2022-06-23
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,3.8,11.6,105.79,Medium,2022-06-23
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,2.3,3.5,143.44,Low,2022-06-23
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,4.6,2.7,189.26,Low,2022-06-16
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.3,7.9,215.15,Medium,2022-06-16
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,3.3,5.4,218.55,Medium,2022-06-16
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.3,7.9,259.86,Medium,2022-06-16
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,3.3,8.7,228.17,Medium,2022-06-16
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,2.6,10.0,147.34,Medium,2022-06-16
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.3,7.9,210.66,Medium,2022-06-16
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.2,14.6,236.44,High,2022-06-16
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.2,14.6,204.36,High,2022-06-16
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,4.6,13.9,199.44,Medium,2022-06-16
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.3,7.9,232.87,Medium,2022-06-16
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,3.9,15.5,226.80,High,2022-06-16
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,3.3,8.7,260.14,Medium,2022-06-16
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.2,14.6,195.79,Medium,2022-06-16
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,3.3,8.7,256.84,Medium,2022-06-16
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,2.6,10.0,221.61,High,2022-06-16
